bracket,year,tokens,token_days,deaths,avg_members,min_members,lo_usd,hi_usd,perp_share
B0,2016,10,1344,0,4.0,3,82241454.79527146,,0.9
B0,2017,11,1459,0,3.9972602739726026,2,2432510657.781011,,0.9090909090909091
B0,2018,9,2195,0,6.013698630136986,4,4531352973.535404,,1.0
B0,2019,10,2674,0,7.326027397260274,6,1910392652.9860108,,1.0
B0,2020,10,2065,1,5.64207650273224,2,3822552501.188062,,0.8
B0,2021,8,1620,0,4.438356164383562,2,33184350044.891422,,0.875
B0,2022,5,1064,0,2.915068493150685,2,23447593166.39293,,1.0
B0,2023,4,1096,0,3.0027397260273974,2,22124709050.265602,,1.0
B0,2024,5,1253,0,3.4234972677595628,3,37506707382.07673,,1.0
B0,2025,7,996,0,5.502762430939226,4,28490185069.4178,,1.0
B1,2016,46,5319,0,15.830357142857142,7,8224145.479527145,82241454.79527146,0.34782608695652173
B1,2017,47,6151,0,16.852054794520548,11,243251065.77810106,2432510657.781011,0.5957446808510638
B1,2018,46,9577,1,26.23835616438356,19,453135297.3535404,4531352973.535404,0.6956521739130435
B1,2019,54,9579,0,26.243835616438357,23,191039265.29860106,1910392652.9860108,0.6296296296296297
B1,2020,69,10863,5,29.68032786885246,20,382255250.1188063,3822552501.188062,0.6086956521739131
B1,2021,65,10874,1,29.791780821917808,23,3318435004.4891415,33184350044.891422,0.8307692307692308
B1,2022,41,9843,1,26.96712328767123,20,2344759316.639293,23447593166.39293,0.9024390243902439
B1,2023,36,7571,1,20.742465753424657,17,2212470905.02656,22124709050.265602,0.8333333333333334
B1,2024,43,7678,0,20.97814207650273,17,3750670738.2076726,37506707382.07673,0.9069767441860465
B1,2025,38,4829,0,26.679558011049725,22,2849018506.9417796,28490185069.4178,0.868421052631579
B2,2016,157,19436,7,57.845238095238095,41,822414.5479527145,8224145.479527145,0.10828025477707007
B2,2017,256,26602,8,72.88219178082191,42,24325106.57781011,243251065.77810106,0.20703125
B2,2018,292,52911,4,144.96164383561643,123,45313529.735354036,453135297.3535404,0.2226027397260274
B2,2019,345,57049,2,156.2986301369863,130,19103926.529860105,191039265.29860106,0.23478260869565218
B2,2020,354,55811,13,152.48907103825135,51,38225525.01188062,382255250.1188063,0.3333333333333333
B2,2021,305,47098,13,129.03561643835616,100,331843500.4489141,3318435004.4891415,0.5639344262295082
B2,2022,208,45448,4,124.51506849315068,102,234475931.6639293,2344759316.639293,0.6634615384615384
B2,2023,214,42056,4,115.22191780821917,97,221247090.502656,2212470905.02656,0.7242990654205608
B2,2024,254,50016,3,136.65573770491804,113,375067073.8207672,3750670738.2076726,0.7874015748031497
B2,2025,200,26041,2,143.87292817679557,119,284901850.6941779,2849018506.9417796,0.765
B3,2016,329,45636,46,135.82142857142858,120,82241.45479527146,822414.5479527145,0.057750759878419454
B3,2017,531,61703,28,169.04931506849314,112,2432510.657781011,24325106.57781011,0.0847457627118644
B3,2018,916,156032,41,427.4849315068493,280,4531352.973535405,45313529.735354036,0.09170305676855896
B3,2019,958,179077,34,490.62191780821917,451,1910392.6529860108,19103926.529860105,0.11795407098121086
B3,2020,999,166241,36,454.2103825136612,145,3822552.5011880626,38225525.01188062,0.16716716716716717
B3,2021,935,150386,40,412.0164383561644,351,33184350.044891417,331843500.4489141,0.23529411764705882
B3,2022,690,155468,20,425.9397260273973,408,23447593.166392934,234475931.6639293,0.32028985507246377
B3,2023,709,150317,14,411.827397260274,386,22124709.0502656,221247090.502656,0.3554301833568406
B3,2024,875,170375,20,465.5054644808743,433,37506707.38207673,375067073.8207672,0.38857142857142857
B3,2025,762,95072,12,525.2596685082873,476,28490185.069417793,284901850.6941779,0.484251968503937
