symbol,circulating_supply,price_usd,market_cap_usd
DGB,17715976807.5908,0.009831894615107053,174181616.97591344
DASH,12279340.81627389,23.74281030407214,291546059.65984136
XVG,16521951235.741348,0.0075021490523737135,123950140.80658166
XEM,8999999999,0.009850994861774704,88658953.74612133
SC,56025636522.075195,0.0034609930045659937,193904336.0792593
DCR,16820099.55960816,15.549153320088292,261538306.91149688
LSK,188907517.30973676,0.4973573333589371,93954539.06062792
STEEM,514326324.434,0.14341531007823796,73762269.30010253
WAVES,117876250,1.2081477284448867,142411923.67510158
ARDR,998466231.2566,0.09780301060392403,97653003.40324932
GLM,1000000000,0.25964485422441147,259644854.22441146
XNO,133248297,0.9831318964280369,131000650.9254163
ARK,188955896,0.41237105711349875,77919942.58134833
RLC,72382548.06525736,1.1626615999928236,84156409.14510958
QTUM,105660916,2.1997662323521485,232429315.09619686
BAT,1495668356.9526057,0.14248719258458753,213113585.21977955
ZEN,16049362.5,9.532844883540717,152996083.19221526
BNT,115188101.74069732,0.7315937100193897,84270890.70256767
NMR,8060603.0785627,8.60648439759822,69373454.63088205
SNT,4000826800.3126316,0.04270513875260205,170855863.63247982
ERG,80911872,0.8827181546298607,71422378.3394875
STORJ,413973378.63491154,0.29260062326544345,121128868.60387653
GAS,64992331,3.238309191604303,210465262.8610893
MTL,84646958,0.7996968000891722,67691901.44988255
CVC,1000000000,0.1397396521824965,139739652.18249652
DENT,99999999999.99994,0.0008352348799703605,83523487.997036
ZRX,848396562.8973439,0.26122552688229017,221622839.1479827
LRC,1366843876.5891356,0.09674160010891743,132230663.72030865
PRO,100000000,1.1211365035645275,112113650.35645275
REQ,844292691.4191633,0.14496515445456443,122393020.41643892
ICX,1066051703.0712605,0.11811449121441452,125916154.51652202
ENJ,1841975956.3988352,0.08832337989960655,162689542.16295543
POWR,567662237.231813,0.17679885241306678,100362032.1008186
VEE,3646271241,0.021391769238926106,78000192.97000472
ELF,744952653.2833838,0.23120631239012687,172237755.87089193
WAXP,4390652433.951701,0.02402923501889591,105504019.22171277
MED,10080089735,0.006944968522792052,70005905.91649428
SWFTC,10000000000,0.014069112389929105,140691123.89929104
IOST,25407526843,0.0038660367827609756,98226433.33402485
TRAC,499846955.602,0.46665006248086055,233253613.06254122
ZIL,19559537419.703213,0.012708103752501988,248564630.88053346
BORG,983102443.442,0.22613583241866805,222314689.4005832
ABT,98554305.44029327,0.9320783983694109,91860339.16719827
ONT,913697857,0.14239767353859453,130108449.15399943
RVN,15196747406.094606,0.012145814067765302,184576868.42921972
SNX,339466216.9903987,0.7895177288940732,268014596.67452225
HOT,174999109483.8257,0.0011259152978825265,197034174.4836585
XYO,13476747692,0.012060111328241878,162531077.5081468
IOTX,9441368979,0.02261861863407372,213550724.31957498
DAG,2873448318,0.04392153767896041,126206268.56758241
IQ,21618292951.929,0.004204721454260023,90898900.1794541
BMX,324281615.96391135,0.28259322779321344,91639788.56924096
RPL,21384675.27468185,5.030309187845896,107571528.51333308
MVL,26602958863.10265,0.003445207561927186,91652715.0447991
EURS,124125940,1.126141296834901,139783347.0424511
VTHO,90025451203,0.0024019694454569993,216238383.10308605
FLUX,385239659.4991484,0.26226052721664495,101033156.20500745
