year,n_test,n_deaths,auc,skipped,base_rate
2015,11489,261,,True,
2016,29070,597,,True,
2017,44673,655,0.5509214655073446,False,0.014662100149978735
2018,81846,1932,0.5425596944769457,False,0.02360530752877355
2019,97992,1521,0.5947008660139669,False,0.015521675238795003
2020,95593,895,0.5889425732210044,False,0.00936261023296685
2021,93885,1821,0.5562979359963902,False,0.019396069659690048
2022,95663,798,0.5840105719418981,False,0.008341783134545226
2023,90525,1239,0.5136101440181606,False,0.013686826843413422
2024,92572,1275,0.588534777789447,False,0.013773063129239944
2025,45532,567,0.5641338520985654,False,0.012452780462092593
