strategy,mean,t_stat,critical_value,adjusted_p,rejected_at_step,significant
size,-0.013860883312062328,-3.012707518420021,3.26616051717168,0.107,0,False
high_52w,0.005730984441326378,2.143735644144282,3.26616051717168,0.518,0,False
downside_beta,-0.005682409142746298,-1.2740003215032683,3.26616051717168,0.976,0,False
beta,-0.0048004459713197915,-1.249377826245441,3.26616051717168,0.978,0,False
turnover,-0.0049877770318932126,-1.1699733542275312,3.26616051717168,0.988,0,False
reversal_1w,-0.003458078059847863,-1.0546827066957996,3.26616051717168,0.996,0,False
trend,0.004391496517845961,1.0313273276577466,3.26616051717168,0.998,0,False
mom_8w,0.002852542182156665,0.9036113363919512,3.26616051717168,0.999,0,False
ivol,0.004133283828850282,0.8781784739787872,3.26616051717168,1.0,0,False
dollar_volume,-0.004383996073814624,-0.8329013623689325,3.26616051717168,1.0,0,False
volatility,0.003945343714941805,0.7580475590434312,3.26616051717168,1.0,0,False
mom_52w,0.002314554979894418,0.7153821740150341,3.26616051717168,1.0,0,False
acceleration,0.0012051080732432126,0.46031575024506266,3.26616051717168,1.0,0,False
mom_1w,0.0014159351742016096,0.40970846066078515,3.26616051717168,1.0,0,False
turning_points,0.0017913306598716925,0.31982171224603495,3.26616051717168,1.0,0,False
lt_reversal,-0.0008601174791721383,-0.2603358640579818,3.26616051717168,1.0,0,False
max_return,0.0010117090388236769,0.2411306328295724,3.26616051717168,1.0,0,False
skew,0.0005684555044266406,0.2268406577763608,3.26616051717168,1.0,0,False
amihud,-0.0012818855113505782,-0.19938693195746318,3.26616051717168,1.0,0,False
mom_26w,0.0006914644855298775,0.19935031065650283,3.26616051717168,1.0,0,False
mom_4w,-0.0008895140602056122,-0.19115484403696958,3.26616051717168,1.0,0,False
mom_2w,0.000509453544364765,0.1594429221103639,3.26616051717168,1.0,0,False
mom_12w,2.7283890005651005e-05,0.008593207054999281,3.26616051717168,1.0,0,False
