,fold,train_start,train_end,test_start,test_end,n_train,n_test,status
0,0,2023-05-31,2024-05-29,2024-05-30,2024-06-26,365,28,success
1,1,2023-06-28,2024-06-26,2024-06-27,2024-07-24,365,28,success
2,2,2023-07-26,2024-07-24,2024-07-25,2024-08-21,365,28,success
3,3,2023-08-23,2024-08-21,2024-08-22,2024-09-18,365,28,success
4,4,2023-09-20,2024-09-18,2024-09-19,2024-10-16,365,28,success
5,5,2023-10-18,2024-10-16,2024-10-17,2024-11-13,365,28,success
6,6,2023-11-15,2024-11-13,2024-11-14,2024-12-11,365,28,success
7,7,2023-12-13,2024-12-11,2024-12-12,2025-01-08,365,28,success
8,8,2024-01-10,2025-01-08,2025-01-09,2025-02-05,365,28,success
9,9,2024-02-07,2025-02-05,2025-02-06,2025-03-05,365,28,success
10,10,2024-03-06,2025-03-05,2025-03-06,2025-04-02,365,28,success
11,11,2024-04-03,2025-04-02,2025-04-03,2025-04-30,365,28,success
12,12,2024-05-01,2025-04-30,2025-05-01,2025-05-28,365,28,success
