method,k,gross_sharpe,net_sharpe,gross_return,net_return,avg_turnover,breakeven_bps,n_days
SPONGE,2,2.796380978162819,-1.5337559690915017,0.28366593882851776,-0.15632755122424769,0.24175466486415687,32.71484375,364
SPONGE,3,2.4048013298043696,-2.761823860384579,0.1908990920747058,-0.2352481135443067,0.23414681627418268,21.97265625,364
SPONGE,4,3.138018088318387,-1.8001813026520006,0.27869778040045,-0.1610668893639503,0.2416289394309892,31.73828125,364
SPONGE,5,2.4378730917672,-2.7459654059170147,0.19942410260586527,-0.23250164884128577,0.2373218414544786,22.94921875,364
SPONGE,6,4.216745194694726,-1.2148292721063252,0.3507427807883985,-0.10064939993095647,0.24801768171393132,38.57421875,364
BNC,2,1.4493602442135893,-2.8767436421459247,0.139847076710709,-0.2856970312515265,0.23381544393529427,16.11328125,364
BNC,3,3.5446668786714475,-1.0048908303859383,0.3334013476861017,-0.09266952819524923,0.23410487685788517,39.55078125,364
BNC,4,2.798008645760419,-1.7589219906827447,0.26051986712137076,-0.16505242653572927,0.23383093058082427,30.76171875,364
BNC,5,2.6321581330366937,-2.3297804754381506,0.22627753301051168,-0.20826887046231968,0.23876176014990738,25.87890625,364
BNC,6,2.8533277298139814,-2.166781221144111,0.24673095556568544,-0.19314329817406778,0.2416891504064579,27.83203125,364
SignedSpectral,2,2.3733516386513025,-1.8111735332993832,0.24546278553661433,-0.1870247170620843,0.23763049593335092,28.80859375,364
SignedSpectral,3,2.855800876408467,-1.8917260900472188,0.257862891424879,-0.1765082975357609,0.2386654884399121,29.78515625,364
SignedSpectral,4,2.8758618893029597,-2.022365715662066,0.2548645731182461,-0.1805928494288315,0.23926232008081194,28.80859375,364
SignedSpectral,5,3.96371713260844,-0.971409987268001,0.3567323200725039,-0.08411625448547394,0.24222449151537245,40.52734375,364
SignedSpectral,6,3.6856607349376884,-1.8401110297675551,0.29020020287753934,-0.1464979544354047,0.23994404247963963,33.69140625,364
