method,k,gross_sharpe,net_sharpe,gross_return,net_return,avg_turnover,breakeven_bps,n_days,strategy,dsr_net
BNC,6,4.208394899274538,-1.3419795394158407,0.3296989433907088,-0.10633617242088467,0.23957973396241405,37.59765625,364.0,Z-Score MR,0.005447021340989273
SPONGE,6,3.7067286359165013,-1.8771698900968836,0.2861842733851401,-0.14894923523619785,0.23908434539633955,32.71484375,364.0,Z-Score MR,0.001070637261550672
BNC,5,3.487945288692619,-1.7203597534418185,0.28766615256633743,-0.14366152510531602,0.2369932294899195,33.69140625,364.0,Z-Score MR,0.0014509604739165241
BNC,3,3.384845281077926,-1.6799598884800637,0.28374931451670593,-0.14724958359493276,0.2368125813800213,32.71484375,364.0,Z-Score MR,0.0018214161173149236
SignedSpectral,6,3.292752237699859,-2.3996097692924354,0.24862115578348273,-0.18842443441746126,0.24013493967084834,28.80859375,364.0,Z-Score MR,0.0001082194636513545
SPONGE,3,3.249017979439571,0.1489057952972049,0.523511352000936,0.024509458061542116,0.2741768648018648,52.24609375,,Cluster Dev,0.155622424257926
BNC,4,3.1154533281051133,-1.4893010405504128,0.29558797852357005,-0.14018266862575446,0.23943442151061792,33.69140625,364.0,Z-Score MR,0.00398177104785912
SPONGE,4,3.011211015882674,-1.9294140020577961,0.2673206244536699,-0.17244404531073043,0.2416289394309892,30.76171875,364.0,Z-Score MR,0.0007921230555786824
SignedSpectral,5,2.9998090672840094,-2.1680515987186952,0.2543611491060388,-0.18647876917824777,0.24221973532103663,28.80859375,364.0,Z-Score MR,0.00020942412617778376
SPONGE,2,2.8261708892849935,-1.519989034381723,0.28498760944504975,-0.15373979112105518,0.24105901130005775,32.71484375,364.0,Z-Score MR,0.003580966083429809
BNC,2,2.7693574236879464,-1.4997774860470143,0.28376593099273006,-0.1523271828618719,0.23961160101901213,32.71484375,364.0,Z-Score MR,0.003622392825763837
SPONGE,5,2.7269809195840917,-2.556311428535505,0.22037140189319032,-0.2104242407624647,0.23670090255805223,25.87890625,364.0,Z-Score MR,7.624006146899044e-05
SignedSpectral,3,2.6083844473580395,-2.1224255602583186,0.23610096756892376,-0.19827022139171616,0.2386654884399121,26.85546875,364.0,Z-Score MR,0.00029065413087500484
SPONGE,3,2.599731891737378,-2.6052626433989015,0.20517179336293156,-0.22097541225608092,0.23414681627418274,23.92578125,364.0,Z-Score MR,6.13460263274741e-05
SignedSpectral,4,2.532151523805271,-2.175280185844271,0.23320222310759997,-0.2038279909949195,0.2401264912651206,26.85546875,364.0,Z-Score MR,0.00021052260936559335
SignedSpectral,2,2.3733516386513025,-1.8111735332993832,0.24546278553661427,-0.18702471706208432,0.23763049593335092,28.80859375,364.0,Z-Score MR,0.0013371193549923763
